Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh),Stored in batteries (Wh),Discharged from batteries (Wh)
07/01/2025 00:00,0,347,0,349,2,0
07/01/2025 00:15,0,323,0,324,1,0
07/01/2025 00:30,0,287,0,288,1,0
07/01/2025 00:45,0,319,0,319,0,0
07/01/2025 01:00,0,238,0,240,2,0
07/01/2025 01:15,0,303,0,305,2,0
07/01/2025 01:30,0,154,0,155,1,0
07/01/2025 01:45,0,190,0,193,3,0
07/01/2025 02:00,0,296,0,297,1,0
07/01/2025 02:15,0,247,0,248,1,0
07/01/2025 02:30,0,436,0,437,2,1
07/01/2025 02:45,0,360,0,362,2,0
07/01/2025 03:00,0,250,0,252,2,0
07/01/2025 03:15,0,119,0,119,0,0
07/01/2025 03:30,0,134,0,136,2,0
07/01/2025 03:45,0,110,0,112,2,0
07/01/2025 04:00,0,241,0,245,4,0
07/01/2025 04:15,0,282,0,286,4,0
07/01/2025 04:30,0,327,0,329,2,0
07/01/2025 04:45,0,126,0,128,2,0
07/01/2025 05:00,0,168,0,172,4,0
07/01/2025 05:15,0,445,0,447,2,0
07/01/2025 05:30,1,307,0,308,2,0
07/01/2025 05:45,16,188,0,183,11,0
07/01/2025 06:00,33,100,0,92,25,0
07/01/2025 06:15,32,268,0,268,32,0
07/01/2025 06:30,115,248,0,244,111,0
07/01/2025 06:45,98,274,0,265,89,0
07/01/2025 07:00,161,326,0,314,149,0
07/01/2025 07:15,144,248,0,248,144,0
07/01/2025 07:30,219,273,0,267,213,0
07/01/2025 07:45,320,417,0,416,319,0
07/01/2025 08:00,279,447,0,444,276,0
07/01/2025 08:15,295,471,0,468,292,0
07/01/2025 08:30,280,187,0,193,286,0
07/01/2025 08:45,351,171,0,159,339,0
07/01/2025 09:00,478,269,0,268,477,0
07/01/2025 09:15,446,338,0,328,436,0
07/01/2025 09:30,642,148,0,140,634,0
07/01/2025 09:45,807,167,0,166,806,0
07/01/2025 10:00,595,180,0,173,588,0
07/01/2025 10:15,987,145,0,68,910,0
07/01/2025 10:30,1281,145,7,0,1129,0
07/01/2025 10:45,1046,166,0,101,981,0
07/01/2025 11:00,1340,198,23,0,1119,0
07/01/2025 11:15,1308,244,0,91,1155,0
07/01/2025 11:30,574,425,0,411,560,0
07/01/2025 11:45,1390,369,0,69,1090,0
07/01/2025 12:00,1320,156,81,0,1083,0
07/01/2025 12:15,1523,128,140,0,1255,0
07/01/2025 12:30,1241,146,181,0,914,0
07/01/2025 12:45,1362,195,1098,0,69,0
07/01/2025 13:00,1473,249,1126,0,98,0
07/01/2025 13:15,1951,407,1536,0,8,0
07/01/2025 13:30,1418,371,920,0,127,0
07/01/2025 13:45,1671,303,1359,0,9,0
07/01/2025 14:00,1589,220,1604,0,0,235
07/01/2025 14:15,1439,244,1439,0,0,244
07/01/2025 14:30,1605,405,1598,0,0,398
