Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh),Stored in batteries (Wh),Discharged from batteries (Wh)
05/01/2025 00:00,0,101,0,6,0,95
05/01/2025 00:15,0,131,0,4,0,127
05/01/2025 00:30,0,113,0,5,0,108
05/01/2025 00:45,0,103,0,4,0,99
05/01/2025 01:00,0,117,0,4,0,113
05/01/2025 01:15,0,129,0,5,0,124
05/01/2025 01:30,0,104,0,5,0,99
05/01/2025 01:45,0,117,0,3,0,114
05/01/2025 02:00,0,133,0,5,0,128
05/01/2025 02:15,0,114,0,4,0,110
05/01/2025 02:30,0,97,0,4,0,93
05/01/2025 02:45,0,110,0,4,0,106
05/01/2025 03:00,0,110,0,5,0,105
05/01/2025 03:15,0,128,0,5,0,123
05/01/2025 03:30,0,99,0,3,0,96
05/01/2025 03:45,0,99,0,6,0,93
05/01/2025 04:00,0,117,0,4,0,113
05/01/2025 04:15,0,120,0,4,0,116
05/01/2025 04:30,0,107,0,5,0,102
05/01/2025 04:45,0,101,0,6,0,95
05/01/2025 05:00,0,128,0,5,0,123
05/01/2025 05:15,0,121,0,5,0,116
05/01/2025 05:30,0,112,0,2,0,110
05/01/2025 05:45,18,100,0,6,0,76
05/01/2025 06:00,49,118,0,10,2,61
05/01/2025 06:15,138,131,0,6,50,37
05/01/2025 06:30,225,108,0,7,124,0
05/01/2025 06:45,498,122,0,7,387,4
05/01/2025 07:00,468,122,0,125,471,0
05/01/2025 07:15,654,129,0,135,660,0
05/01/2025 07:30,786,129,0,138,795,0
05/01/2025 07:45,921,102,0,111,930,0
05/01/2025 08:00,981,102,0,116,995,0
05/01/2025 08:15,1047,129,0,139,1057,0
05/01/2025 08:30,1086,98,0,105,1093,0
05/01/2025 08:45,1146,98,0,105,1153,0
05/01/2025 09:00,1215,115,0,117,1217,0
05/01/2025 09:15,1324,207,111,0,1006,0
05/01/2025 09:30,1340,201,731,0,408,0
05/01/2025 09:45,1419,185,1029,0,205,0
05/01/2025 10:00,1463,217,1182,0,64,0
05/01/2025 10:15,1557,183,1366,0,8,0
05/01/2025 10:30,1565,469,1054,0,42,0
05/01/2025 10:45,1621,1535,74,0,12,0
05/01/2025 11:00,1632,750,853,0,29,0
05/01/2025 11:15,1692,229,1420,0,43,0
05/01/2025 11:30,1743,476,1241,0,26,0
05/01/2025 11:45,1770,142,1623,0,5,0
05/01/2025 12:00,1778,1353,376,0,49,0
05/01/2025 12:15,1754,397,1306,0,51,0
05/01/2025 12:30,1745,132,1607,0,6,0
05/01/2025 12:45,1762,153,1584,0,25,0
05/01/2025 13:00,1771,131,1615,0,25,0
05/01/2025 13:15,1761,142,1590,0,29,0
05/01/2025 13:30,1764,118,1626,0,20,0
05/01/2025 13:45,1704,124,1555,0,25,0
05/01/2025 14:00,1671,145,1497,0,29,0
05/01/2025 14:15,1600,126,1445,0,29,0
05/01/2025 14:30,1548,121,1385,0,42,0
05/01/2025 14:45,1397,132,1259,0,6,0
05/01/2025 15:00,1342,159,1181,0,2,0
05/01/2025 15:15,1239,144,1039,0,56,0
05/01/2025 15:30,1136,158,932,0,46,0
05/01/2025 15:45,994,146,842,0,6,0
05/01/2025 16:00,916,278,939,0,0,301
05/01/2025 16:15,828,333,830,0,0,335
05/01/2025 16:30,723,122,722,0,0,121
05/01/2025 16:45,635,121,633,0,0,119
05/01/2025 17:00,513,141,510,0,0,138
05/01/2025 17:15,387,113,384,0,0,110
05/01/2025 17:30,164,140,162,0,0,138
05/01/2025 17:45,145,124,143,0,0,122
05/01/2025 18:00,112,159,109,0,0,156
05/01/2025 18:15,174,126,172,0,0,124
05/01/2025 18:30,190,100,188,0,0,98
