Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh),Stored in batteries (Wh),Discharged from batteries (Wh)
09/01/2025 00:00,0,139,0,145,6,0
09/01/2025 00:15,0,123,0,129,6,0
09/01/2025 00:30,0,118,0,125,7,0
09/01/2025 00:45,0,110,0,117,7,0
09/01/2025 01:00,0,122,0,127,5,0
09/01/2025 01:15,0,119,0,125,6,0
09/01/2025 01:30,0,131,0,137,6,0
09/01/2025 01:45,0,100,0,106,6,0
09/01/2025 02:00,0,102,0,107,5,0
09/01/2025 02:15,0,116,0,122,6,0
09/01/2025 02:30,0,133,0,139,6,0
09/01/2025 02:45,0,114,0,120,6,0
09/01/2025 03:00,0,101,0,107,6,0
09/01/2025 03:15,0,111,0,117,6,0
09/01/2025 03:30,0,181,0,186,5,0
09/01/2025 03:45,0,260,0,267,7,0
09/01/2025 04:00,0,255,0,260,5,0
09/01/2025 04:15,0,106,0,112,6,0
09/01/2025 04:30,0,103,0,109,6,0
09/01/2025 04:45,0,128,0,134,6,0
09/01/2025 05:00,0,127,0,133,6,0
09/01/2025 05:15,0,125,0,131,6,0
09/01/2025 05:30,0,120,0,126,6,0
09/01/2025 05:45,0,103,0,109,6,0
09/01/2025 06:00,0,100,0,106,6,0
09/01/2025 06:15,21,128,0,123,16,0
09/01/2025 06:30,132,123,0,114,123,0
09/01/2025 06:45,254,142,0,41,153,0
09/01/2025 07:00,347,122,0,120,345,0
09/01/2025 07:15,324,116,0,125,333,0
09/01/2025 07:30,352,118,0,123,357,0
09/01/2025 07:45,412,310,0,306,408,0
09/01/2025 08:00,485,241,0,231,475,0
09/01/2025 08:15,637,242,0,239,634,0
09/01/2025 08:30,796,231,0,213,778,0
09/01/2025 08:45,769,274,0,269,764,0
09/01/2025 09:00,826,174,0,173,825,0
09/01/2025 09:15,952,199,0,199,952,0
09/01/2025 09:30,939,230,0,231,940,0
09/01/2025 09:45,777,379,0,357,755,0
09/01/2025 10:00,906,1486,0,1479,899,0
09/01/2025 10:15,985,849,0,852,988,0
09/01/2025 10:30,922,185,0,187,924,0
09/01/2025 10:45,885,153,0,145,877,0
09/01/2025 11:00,1266,142,0,134,1258,0
09/01/2025 11:15,1297,151,0,153,1299,0
09/01/2025 11:30,1399,160,182,0,1057,0
09/01/2025 11:45,1577,946,513,0,118,0
09/01/2025 12:00,1492,1590,0,215,117,0
09/01/2025 12:15,1412,1562,0,224,74,0
09/01/2025 12:30,1386,1560,0,174,0,0
09/01/2025 12:45,1025,219,788,0,18,0
09/01/2025 13:00,1023,141,813,0,69,0
09/01/2025 13:15,1046,178,850,0,18,0
09/01/2025 13:30,777,187,590,0,0,0
09/01/2025 13:45,885,454,411,0,20,0
09/01/2025 14:00,877,342,893,0,0,358
09/01/2025 14:15,715,182,711,0,0,178
09/01/2025 14:30,759,147,759,0,0,147
09/01/2025 14:45,816,140,811,0,0,135
09/01/2025 15:00,781,167,776,0,0,162
09/01/2025 15:15,681,170,677,0,0,166
09/01/2025 15:30,533,277,526,0,0,270
09/01/2025 15:45,526,320,525,0,0,319
09/01/2025 16:00,456,176,451,0,0,171
09/01/2025 16:15,424,152,420,0,0,148
09/01/2025 16:30,353,138,350,0,0,135
09/01/2025 16:45,381,142,375,0,0,136
09/01/2025 17:00,328,169,324,0,0,165
09/01/2025 17:15,335,168,329,0,0,162
09/01/2025 17:30,211,148,209,0,0,146
09/01/2025 17:45,210,198,204,0,0,192
09/01/2025 18:00,165,205,159,0,0,199
09/01/2025 18:15,84,251,82,0,0,249
09/01/2025 18:30,48,459,36,0,0,447
09/01/2025 18:45,22,606,19,0,0,603
09/01/2025 19:00,6,494,1,0,0,489
09/01/2025 19:15,0,390,0,1,0,389
09/01/2025 19:30,0,290,0,9,0,281
09/01/2025 19:45,0,325,0,3,0,322
09/01/2025 20:00,0,323,3,0,0,326
09/01/2025 20:15,0,269,2,0,0,271
09/01/2025 20:30,0,275,2,0,0,277
09/01/2025 20:45,0,470,5,0,0,475
09/01/2025 21:00,0,333,0,2,0,331
09/01/2025 21:15,0,567,0,12,0,555
09/01/2025 21:30,0,561,0,3,0,558
09/01/2025 21:45,0,292,0,6,0,286
09/01/2025 22:00,0,490,5,0,0,495
09/01/2025 22:15,0,485,0,4,0,481
09/01/2025 22:30,0,552,0,6,0,546
09/01/2025 22:45,0,314,0,4,0,310
09/01/2025 23:00,0,151,1,0,0,152
09/01/2025 23:15,0,203,0,6,0,197
09/01/2025 23:30,0,187,0,6,0,181
09/01/2025 23:45,0,164,7,0,0,171
09/02/2025 00:00,0,155,0,5,0,150
09/02/2025 00:15,0,196,0,149,6,53
09/02/2025 00:30,0,189,0,195,6,0
09/02/2025 00:45,0,161,0,167,6,0
09/02/2025 01:00,0,167,0,173,6,0
09/02/2025 01:15,0,143,0,151,8,0
09/02/2025 01:30,0,135,0,141,6,0
09/02/2025 01:45,0,140,0,146,6,0
09/02/2025 02:00,0,158,0,164,6,0
09/02/2025 02:15,0,186,0,192,6,0
09/02/2025 02:30,0,295,0,301,6,0
09/02/2025 02:45,0,135,0,141,6,0
09/02/2025 03:00,0,134,0,141,7,0
09/02/2025 03:15,0,156,0,162,6,0
09/02/2025 03:30,0,169,0,176,7,0
09/02/2025 03:45,0,157,0,163,6,0
09/02/2025 04:00,0,139,0,145,6,0
09/02/2025 04:15,0,144,0,151,7,0
09/02/2025 04:30,0,155,0,161,6,0
09/02/2025 04:45,0,149,0,156,7,0
09/02/2025 05:00,0,174,0,179,5,0
09/02/2025 05:15,0,136,0,143,7,0
09/02/2025 05:30,0,135,0,141,6,0
09/02/2025 05:45,0,144,0,150,6,0
09/02/2025 06:00,0,151,0,158,7,0
09/02/2025 06:15,6,155,0,154,5,0
09/02/2025 06:30,99,167,0,151,83,0
09/02/2025 06:45,218,133,0,7,92,0
09/02/2025 07:00,108,136,0,135,107,0
09/02/2025 07:15,131,163,0,160,128,0
09/02/2025 07:30,334,153,0,148,329,0
09/02/2025 07:45,425,167,0,167,425,0
09/02/2025 08:00,579,154,0,151,576,0
09/02/2025 08:15,793,169,0,167,791,0
09/02/2025 08:30,815,362,0,360,813,0
09/02/2025 08:45,833,314,0,310,829,0
09/02/2025 09:00,868,304,0,303,867,0
09/02/2025 09:15,911,423,0,423,911,0
09/02/2025 09:30,980,339,0,335,976,0
09/02/2025 09:45,1069,294,0,289,1064,0
09/02/2025 10:00,1141,308,0,303,1136,0
09/02/2025 10:15,1223,291,0,285,1217,0
09/02/2025 10:30,1307,174,0,164,1297,0
09/02/2025 10:45,1380,176,0,172,1376,0
09/02/2025 11:00,1442,232,0,243,1453,0
09/02/2025 11:15,1490,233,614,0,643,0
09/02/2025 11:30,1522,230,1206,0,86,0
09/02/2025 11:45,1553,281,1195,0,77,0
09/02/2025 12:00,1550,1614,0,112,48,0
09/02/2025 12:15,1564,1097,433,0,34,0
09/02/2025 12:30,1570,211,1349,0,10,0
09/02/2025 12:45,1574,175,1363,0,36,0
09/02/2025 13:00,1576,179,1356,0,41,0
09/02/2025 13:15,1555,190,1355,0,10,0
09/02/2025 13:30,1519,173,1328,0,18,0
