Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh),Stored in batteries (Wh),Discharged from batteries (Wh)
04/01/2025 00:00,0,350,0,350,0,0
04/01/2025 00:15,0,277,0,277,0,0
04/01/2025 00:30,0,295,0,295,0,0
04/01/2025 00:45,0,154,0,156,2,0
04/01/2025 01:00,0,296,0,296,0,0
04/01/2025 01:15,0,286,0,286,0,0
04/01/2025 01:30,0,307,0,307,0,0
04/01/2025 01:45,0,326,0,327,1,0
04/01/2025 02:00,0,288,0,288,0,0
04/01/2025 02:15,0,288,0,288,0,0
04/01/2025 02:30,0,285,0,285,0,0
04/01/2025 02:45,0,314,0,314,0,0
04/01/2025 03:00,0,580,0,580,0,0
04/01/2025 03:15,0,284,0,284,0,0
04/01/2025 03:30,0,298,0,298,0,0
04/01/2025 03:45,0,312,0,312,0,0
04/01/2025 04:00,0,281,0,282,1,0
04/01/2025 04:15,0,284,0,284,0,0
04/01/2025 04:30,0,281,0,281,0,0
04/01/2025 04:45,0,306,0,306,0,0
04/01/2025 05:00,0,376,0,376,0,0
04/01/2025 05:15,0,549,0,549,0,0
04/01/2025 05:30,0,285,0,285,0,0
04/01/2025 05:45,0,307,0,307,0,0
04/01/2025 06:00,0,287,0,288,1,0
04/01/2025 06:15,0,280,0,280,0,0
04/01/2025 06:30,0,647,0,647,0,0
04/01/2025 06:45,0,711,0,711,0,0
04/01/2025 07:00,1,577,0,577,1,0
04/01/2025 07:15,34,699,0,689,24,0
04/01/2025 07:30,62,630,0,636,68,0
04/01/2025 07:45,76,402,0,398,72,0
04/01/2025 08:00,191,466,0,461,186,0
04/01/2025 08:15,262,848,0,850,264,0
04/01/2025 08:30,236,649,0,657,244,0
04/01/2025 08:45,242,367,0,372,247,0
04/01/2025 09:00,319,363,0,364,320,0
04/01/2025 09:15,426,408,0,392,410,0
04/01/2025 09:30,564,396,0,377,545,0
04/01/2025 09:45,931,359,0,320,892,0
04/01/2025 10:00,1130,148,0,154,1136,0
04/01/2025 10:15,1248,115,0,123,1256,0
04/01/2025 10:30,1328,99,0,105,1334,0
04/01/2025 10:45,1404,96,0,99,1407,0
04/01/2025 11:00,1482,112,0,112,1482,0
04/01/2025 11:15,1535,117,0,122,1540,0
04/01/2025 11:30,1589,95,0,88,1582,0
04/01/2025 11:45,1627,95,71,0,1461,0
04/01/2025 12:00,1632,105,863,0,664,0
04/01/2025 12:15,1639,121,1312,0,206,0
04/01/2025 12:30,1657,102,1479,0,76,0
04/01/2025 12:45,1674,118,1504,0,52,0
04/01/2025 13:00,1684,133,1499,0,52,0
04/01/2025 13:15,1665,186,1441,0,38,0
04/01/2025 13:30,1618,534,1053,0,31,0
04/01/2025 13:45,1495,369,1034,0,92,0
04/01/2025 14:00,1514,358,1150,0,6,0
