Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh),Stored in batteries (Wh),Discharged from batteries (Wh)
11/01/2025 00:00,0,550,38,0,0,588
11/01/2025 00:15,0,266,4,0,0,270
11/01/2025 00:30,0,145,0,2,0,143
11/01/2025 00:45,0,172,5,0,0,177
11/01/2025 01:00,0,234,0,165,17,86
11/01/2025 01:15,0,420,0,430,10,0
11/01/2025 01:30,0,298,0,303,5,0
11/01/2025 01:45,0,166,0,172,6,0
11/01/2025 02:00,0,169,0,174,5,0
11/01/2025 02:15,0,220,0,226,6,0
11/01/2025 02:30,0,495,0,500,5,0
11/01/2025 02:45,0,230,0,235,5,0
11/01/2025 03:00,0,168,0,210,42,0
11/01/2025 03:15,0,143,0,204,61,0
11/01/2025 03:30,0,454,0,462,8,0
11/01/2025 03:45,0,305,0,311,6,0
11/01/2025 04:00,0,141,0,146,5,0
11/01/2025 04:15,0,145,0,235,90,0
11/01/2025 04:30,0,281,0,292,11,0
11/01/2025 04:45,0,544,0,551,7,0
11/01/2025 05:00,0,144,0,150,6,0
11/01/2025 05:15,0,148,0,229,81,0
11/01/2025 05:30,0,193,0,203,10,0
11/01/2025 05:45,0,522,0,528,6,0
11/01/2025 06:00,0,152,0,158,6,0
11/01/2025 06:15,0,155,0,250,95,0
11/01/2025 06:30,0,544,0,552,8,0
11/01/2025 06:45,0,570,0,575,5,0
11/01/2025 07:00,0,440,0,446,6,0
11/01/2025 07:15,0,473,0,478,5,0
11/01/2025 07:30,6,576,0,654,84,0
11/01/2025 07:45,26,588,0,582,20,0
11/01/2025 08:00,108,503,0,496,101,0
11/01/2025 08:15,213,527,0,532,218,0
11/01/2025 08:30,210,150,0,157,217,0
11/01/2025 08:45,172,155,0,161,178,0
11/01/2025 09:00,175,173,0,175,177,0
11/01/2025 09:15,242,149,0,149,242,0
11/01/2025 09:30,362,145,0,145,362,0
11/01/2025 09:45,494,240,0,239,493,0
11/01/2025 10:00,559,150,0,152,561,0
11/01/2025 10:15,629,176,0,184,637,0
11/01/2025 10:30,705,216,0,217,706,0
11/01/2025 10:45,794,617,0,618,795,0
11/01/2025 11:00,912,391,0,392,913,0
11/01/2025 11:15,999,401,0,409,1007,0
11/01/2025 11:30,1040,400,0,413,1053,0
11/01/2025 11:45,1055,198,0,212,1069,0
11/01/2025 12:00,1066,153,0,167,1080,0
11/01/2025 12:15,1080,145,0,171,1106,0
11/01/2025 12:30,1083,525,0,545,1103,0
11/01/2025 12:45,1075,511,0,530,1094,0
11/01/2025 13:00,1054,177,0,186,1063,0
11/01/2025 13:15,1009,568,0,178,619,0
11/01/2025 13:30,947,156,635,0,156,0
11/01/2025 13:45,868,722,0,17,163,0
11/01/2025 14:00,796,1100,0,412,108,0
11/01/2025 14:15,703,1052,0,418,69,0
11/01/2025 14:30,570,1030,0,532,72,0
11/01/2025 14:45,414,1264,0,913,63,0
11/01/2025 15:00,261,1063,0,834,32,0
11/01/2025 15:15,168,1082,0,952,38,0
11/01/2025 15:30,135,1143,0,1028,20,0
11/01/2025 15:45,154,1147,0,1034,41,0
11/01/2025 16:00,172,253,129,0,0,210
11/01/2025 16:15,144,224,142,0,0,222
11/01/2025 16:30,88,157,85,0,0,154
11/01/2025 16:45,55,213,51,0,0,209
11/01/2025 17:00,30,173,28,0,0,171
11/01/2025 17:15,15,225,11,0,0,221
11/01/2025 17:30,1,599,0,2,0,596
11/01/2025 17:45,0,441,8,0,0,449
11/01/2025 18:00,0,229,0,2,1,228
11/01/2025 18:15,0,508,0,9,0,499
11/01/2025 18:30,0,297,8,0,0,305
