Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh),Stored in batteries (Wh),Discharged from batteries (Wh)
04/01/2026 00:00,0,910,0,937,27,0
04/01/2026 01:00,0,875,0,994,119,0
04/01/2026 02:00,0,1169,0,1197,28,0
04/01/2026 03:00,0,849,0,957,108,0
04/01/2026 04:00,0,1327,0,1438,111,0
04/01/2026 05:00,0,1632,0,1744,112,0
04/01/2026 06:00,108,1587,0,1507,28,0
04/01/2026 07:00,477,926,0,921,472,0
04/01/2026 08:00,649,501,0,489,637,0
04/01/2026 09:00,1174,924,0,912,1162,0
04/01/2026 10:00,3023,595,0,609,3037,0
04/01/2026 11:00,3530,493,0,490,3527,0
04/01/2026 12:00,2394,468,0,465,2391,0
04/01/2026 13:00,1408,509,0,2139,3038,0
04/01/2026 14:00,578,1660,0,1781,699,0
04/01/2026 15:00,246,807,0,601,40,0
04/01/2026 16:00,187,519,183,0,0,515
04/01/2026 17:00,183,1734,162,0,0,1713
04/01/2026 18:00,27,1013,3,0,0,989
04/01/2026 19:00,0,1455,0,22,0,1433
04/01/2026 20:00,0,1011,0,48,18,981
04/01/2026 21:00,0,3697,0,7,0,3690
04/01/2026 22:00,0,1918,0,31,0,1887
04/01/2026 23:00,0,1024,0,30,0,994
04/02/2026 00:00,0,1229,0,806,24,447
04/02/2026 01:00,0,1173,0,1201,28,0
04/02/2026 02:00,0,959,0,987,28,0
04/02/2026 03:00,0,1502,0,1530,28,0
04/02/2026 04:00,0,1351,0,1466,115,0
04/02/2026 05:00,0,1359,0,1475,116,0
04/02/2026 06:00,0,2450,0,2558,108,0
04/02/2026 07:00,99,1918,0,1900,81,0
04/02/2026 08:00,428,900,0,889,417,0
04/02/2026 09:00,697,1277,0,1274,694,0
04/02/2026 10:00,1056,800,0,801,1057,0
04/02/2026 11:00,1213,2088,0,2078,1203,0
04/02/2026 12:00,1200,2282,0,2295,1213,0
04/02/2026 13:00,1155,2902,0,3296,1549,0
04/02/2026 14:00,922,2214,0,4650,3358,0
04/02/2026 15:00,1016,2193,0,2917,1740,0
04/02/2026 16:00,571,2318,551,0,1,2299
04/02/2026 17:00,282,1776,267,0,0,1761
04/02/2026 18:00,68,2297,42,0,0,2271
