Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh),Stored in batteries (Wh),Discharged from batteries (Wh)
2026-02-01 00:00:00 -0500,0,1095,0,1649,554,0
2026-02-01 00:15:00 -0500,0,1161,0,1716,555,0
2026-02-01 00:30:00 -0500,0,1154,0,1712,558,0
2026-02-01 00:45:00 -0500,0,917,0,1473,556,0
2026-02-01 01:00:00 -0500,0,1389,0,1947,558,0
2026-02-01 01:15:00 -0500,0,1132,0,1690,558,0
2026-02-01 01:30:00 -0500,0,1241,0,1799,558,0
2026-02-01 01:45:00 -0500,0,945,0,1503,558,0
2026-02-01 02:00:00 -0500,0,1199,0,1760,561,0
2026-02-01 02:15:00 -0500,0,1233,0,1794,561,0
2026-02-01 02:30:00 -0500,0,1224,0,1784,560,0
2026-02-01 02:45:00 -0500,0,932,0,1494,562,0
2026-02-01 03:00:00 -0500,0,1515,0,2076,561,0
2026-02-01 03:15:00 -0500,0,1212,0,1767,555,0
2026-02-01 03:30:00 -0500,0,1164,0,1706,542,0
2026-02-01 03:45:00 -0500,0,1264,0,1780,516,0
2026-02-01 04:00:00 -0500,0,1104,0,1588,484,0
2026-02-01 04:15:00 -0500,0,1193,0,1649,456,0
2026-02-01 04:30:00 -0500,0,899,0,1324,425,0
2026-02-01 04:45:00 -0500,0,1563,0,1956,393,0
2026-02-01 05:00:00 -0500,0,1705,0,2070,365,0
2026-02-01 05:15:00 -0500,0,1066,0,1405,339,0
2026-02-01 05:30:00 -0500,0,1309,0,1618,309,0
2026-02-01 05:45:00 -0500,0,1360,0,1639,279,0
2026-02-01 06:00:00 -0500,0,1053,0,1304,251,0
2026-02-01 06:15:00 -0500,0,1485,0,1619,134,0
2026-02-01 06:30:00 -0500,0,1509,0,1629,120,0
2026-02-01 06:45:00 -0500,0,1461,0,1541,80,0
2026-02-01 07:00:00 -0500,0,1196,0,1276,80,0
2026-02-01 07:15:00 -0500,1,1393,0,1453,61,0
2026-02-01 07:30:00 -0500,12,1940,0,1940,12,0
2026-02-01 07:45:00 -0500,21,1567,0,1546,0,0
2026-02-01 08:00:00 -0500,31,1488,0,1457,0,0
2026-02-01 08:15:00 -0500,59,1328,0,1295,26,0
2026-02-01 08:30:00 -0500,68,1416,0,1353,5,0
2026-02-01 08:45:00 -0500,65,1185,0,1120,0,0
2026-02-01 09:00:00 -0500,78,1337,0,1269,10,0
2026-02-01 09:15:00 -0500,87,1185,0,1108,10,0
2026-02-01 09:30:00 -0500,93,1290,0,1197,0,0
2026-02-01 09:45:00 -0500,102,929,0,827,0,0
2026-02-01 10:00:00 -0500,113,1358,0,1256,11,0
2026-02-01 10:15:00 -0500,129,1255,0,1126,0,0
2026-02-01 10:30:00 -0500,132,1320,0,1188,0,0
2026-02-01 10:45:00 -0500,154,1223,0,1074,5,0
2026-02-01 11:00:00 -0500,164,1018,0,860,6,0
2026-02-01 11:15:00 -0500,164,1086,0,922,0,0
2026-02-01 11:30:00 -0500,185,1023,0,838,0,0
2026-02-01 11:45:00 -0500,194,922,0,738,10,0
2026-02-01 12:00:00 -0500,184,1871,0,1687,0,0
2026-02-01 12:15:00 -0500,196,1218,0,1022,0,0
2026-02-01 12:30:00 -0500,189,1194,0,1015,10,0
2026-02-01 12:45:00 -0500,192,1573,0,1381,0,0
2026-02-01 13:00:00 -0500,176,2255,0,2079,0,0
2026-02-01 13:15:00 -0500,161,2687,0,2529,3,0
2026-02-01 13:30:00 -0500,150,2152,0,2010,8,0
2026-02-01 13:45:00 -0500,162,1544,0,1382,0,0
2026-02-01 14:00:00 -0500,156,1281,0,1125,0,0
2026-02-01 14:15:00 -0500,116,1526,0,1418,8,0
2026-02-01 14:30:00 -0500,93,1184,0,1091,0,0
2026-02-01 14:45:00 -0500,80,1067,0,987,0,0
2026-02-01 15:00:00 -0500,70,933,0,873,10,0
2026-02-01 15:15:00 -0500,60,1090,0,1030,0,0
2026-02-01 15:30:00 -0500,53,1078,0,1025,0,0
2026-02-01 15:45:00 -0500,42,1068,0,1028,2,0
2026-02-01 16:00:00 -0500,28,732,26,0,2,732
2026-02-01 16:15:00 -0500,20,663,12,0,0,655
2026-02-01 16:30:00 -0500,8,680,4,0,0,676
2026-02-01 16:45:00 -0500,1,673,0,4,0,668
2026-02-01 17:00:00 -0500,0,996,0,9,0,987
2026-02-01 17:15:00 -0500,0,765,0,4,0,761
2026-02-01 17:30:00 -0500,0,1142,0,6,0,1136
2026-02-01 17:45:00 -0500,0,750,0,10,0,740
2026-02-01 18:00:00 -0500,0,982,0,4,0,978
2026-02-01 18:15:00 -0500,0,843,0,9,0,834
2026-02-01 18:30:00 -0500,0,728,0,0,0,728
2026-02-01 18:45:00 -0500,0,759,0,10,0,749
2026-02-01 19:00:00 -0500,0,954,0,6,0,948
2026-02-01 19:15:00 -0500,0,1169,0,13,0,1156
2026-02-01 19:30:00 -0500,0,979,6,0,0,985
2026-02-01 19:45:00 -0500,0,1001,0,542,2,461
2026-02-01 20:00:00 -0500,0,1114,0,1118,4,0
2026-02-01 20:15:00 -0500,0,1026,0,1032,6,0
2026-02-01 20:30:00 -0500,0,1082,0,1088,6,0
2026-02-01 20:45:00 -0500,0,1343,0,1347,4,0
2026-02-01 21:00:00 -0500,0,1028,0,1034,6,0
2026-02-01 21:15:00 -0500,0,1348,0,1354,6,0
2026-02-01 21:30:00 -0500,1,1642,0,1645,4,0
2026-02-01 21:45:00 -0500,0,1677,0,1682,5,0
2026-02-01 22:00:00 -0500,0,1396,0,2073,677,0
2026-02-01 22:15:00 -0500,0,1043,0,1728,685,0
2026-02-01 22:30:00 -0500,0,924,0,1603,679,0
2026-02-01 22:45:00 -0500,0,1092,0,1769,677,0
2026-02-01 23:00:00 -0500,0,936,0,1613,677,0
2026-02-01 23:15:00 -0500,0,1249,0,1933,684,0
2026-02-01 23:30:00 -0500,0,948,0,1631,683,0
2026-02-01 23:45:00 -0500,0,1008,0,1693,685,0
2026-02-02 00:00:00 -0500,0,916,0,1598,682,0
2026-02-02 00:15:00 -0500,0,1107,0,1782,675,0
2026-02-02 00:30:00 -0500,0,883,0,1559,676,0
2026-02-02 00:45:00 -0500,0,999,0,1662,663,0
2026-02-02 01:00:00 -0500,0,926,0,1566,640,0
2026-02-02 01:15:00 -0500,0,1119,0,1733,614,0
2026-02-02 01:30:00 -0500,0,851,0,1438,587,0
2026-02-02 01:45:00 -0500,0,1074,0,1630,556,0
2026-02-02 02:00:00 -0500,0,1188,0,1716,528,0
2026-02-02 02:15:00 -0500,0,1211,0,1715,504,0
2026-02-02 02:30:00 -0500,0,918,0,1397,479,0
2026-02-02 02:45:00 -0500,0,1094,0,1515,421,0
2026-02-02 03:00:00 -0500,0,1140,0,1562,422,0
2026-02-02 03:15:00 -0500,0,959,0,1381,422,0
2026-02-02 03:30:00 -0500,0,1013,0,1445,432,0
2026-02-02 03:45:00 -0500,0,1267,0,1689,422,0
2026-02-02 04:00:00 -0500,0,1214,0,1664,450,0
2026-02-02 04:15:00 -0500,0,899,0,1307,408,0
2026-02-02 04:30:00 -0500,0,1255,0,1631,376,0
2026-02-02 04:45:00 -0500,0,974,0,1315,341,0
2026-02-02 05:00:00 -0500,0,1033,0,1344,311,0
2026-02-02 05:15:00 -0500,0,1126,0,1389,263,0
2026-02-02 05:30:00 -0500,0,1241,0,1463,222,0
2026-02-02 05:45:00 -0500,0,936,0,1077,141,0
2026-02-02 06:00:00 -0500,0,1265,0,1309,44,0
2026-02-02 06:15:00 -0500,0,949,0,953,4,0
2026-02-02 06:30:00 -0500,0,1185,0,1202,17,0
2026-02-02 06:45:00 -0500,0,933,0,949,16,0
2026-02-02 07:00:00 -0500,0,1199,0,1212,13,0
2026-02-02 07:15:00 -0500,0,1650,0,1654,4,0
2026-02-02 07:30:00 -0500,4,1509,0,1522,17,0
2026-02-02 07:45:00 -0500,24,1254,0,1230,0,0
2026-02-02 08:00:00 -0500,41,1183,0,1143,1,0
2026-02-02 08:15:00 -0500,43,1212,0,1179,10,0
2026-02-02 08:30:00 -0500,50,1140,0,1090,0,0
2026-02-02 08:45:00 -0500,75,1005,0,931,1,0
2026-02-02 09:00:00 -0500,114,2235,0,2125,4,0
2026-02-02 09:15:00 -0500,140,2259,0,2125,6,0
2026-02-02 09:30:00 -0500,155,1173,0,1018,0,0
2026-02-02 09:45:00 -0500,177,1034,0,857,0,0
2026-02-02 10:00:00 -0500,189,1117,0,938,10,0
2026-02-02 10:15:00 -0500,195,937,0,742,0,0
2026-02-02 10:30:00 -0500,205,993,0,788,0,0
2026-02-02 10:45:00 -0500,209,725,0,526,10,0
2026-02-02 11:00:00 -0500,259,666,0,408,1,0
2026-02-02 11:15:00 -0500,253,589,0,336,0,0
2026-02-02 11:30:00 -0500,274,666,0,395,3,0
2026-02-02 11:45:00 -0500,298,579,0,288,7,0
2026-02-02 12:00:00 -0500,299,632,0,333,0,0
2026-02-02 12:15:00 -0500,275,559,0,287,3,0
2026-02-02 12:30:00 -0500,304,619,0,327,12,0
2026-02-02 12:45:00 -0500,297,647,0,352,2,0
2026-02-02 13:00:00 -0500,295,650,0,357,2,0
2026-02-02 13:15:00 -0500,310,622,0,324,12,0
2026-02-02 13:30:00 -0500,286,569,0,285,2,0
2026-02-02 13:45:00 -0500,224,536,0,312,0,0
2026-02-02 14:00:00 -0500,208,518,0,314,4,0
