Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh),Stored in batteries (Wh),Discharged from batteries (Wh)
05/01/2026 00:00,0,582,0,24,0,558
05/01/2026 01:00,0,841,0,845,58,54
05/01/2026 02:00,0,790,0,819,29,0
05/01/2026 03:00,0,835,0,864,29,0
05/01/2026 04:00,0,685,0,817,132,0
05/01/2026 05:00,2,700,0,726,28,0
05/01/2026 06:00,1059,1279,0,510,501,211
05/01/2026 07:00,2350,576,0,578,2352,0
05/01/2026 08:00,4320,722,0,717,4315,0
05/01/2026 09:00,5505,476,0,461,5490,0
05/01/2026 10:00,5355,1874,1127,0,2354,0
05/01/2026 11:00,6410,4286,2010,0,114,0
05/01/2026 12:00,7104,4931,2117,0,56,0
05/01/2026 13:00,6678,5215,1406,0,57,0
05/01/2026 14:00,6534,4210,2279,0,45,0
05/01/2026 15:00,5315,808,4453,0,54,0
05/01/2026 16:00,3373,758,3363,0,0,748
05/01/2026 17:00,1776,505,1759,0,0,488
05/01/2026 18:00,528,995,502,0,0,969
05/01/2026 19:00,65,730,45,0,0,710
05/01/2026 20:00,0,992,0,35,20,977
05/01/2026 21:00,0,3575,0,17,0,3558
05/01/2026 22:00,0,722,0,24,0,698
05/01/2026 23:00,0,509,0,23,0,486
05/02/2026 00:00,0,647,0,25,0,622
05/02/2026 01:00,0,523,0,23,0,500
05/02/2026 02:00,0,509,0,23,0,486
05/02/2026 03:00,0,624,0,24,0,600
05/02/2026 04:00,0,522,0,22,0,500
05/02/2026 05:00,0,594,0,28,4,570
05/02/2026 06:00,397,1074,0,287,88,478
05/02/2026 07:00,885,930,0,914,869,0
05/02/2026 08:00,1333,808,0,824,1349,0
05/02/2026 09:00,1655,1853,0,1852,1654,0
05/02/2026 10:00,4133,686,0,690,4137,0
05/02/2026 11:00,2860,640,0,637,2857,0
05/02/2026 12:00,1459,1155,0,1140,1444,0
05/02/2026 13:00,1154,768,0,752,1138,0
05/02/2026 14:00,2357,1137,80,0,1140,0
05/02/2026 15:00,3723,898,2720,0,105,0
05/02/2026 16:00,3965,622,3956,0,0,613
05/02/2026 17:00,830,664,809,0,0,643
05/02/2026 18:00,187,1328,161,0,0,1302
05/02/2026 19:00,80,802,62,0,0,784
05/02/2026 20:00,0,778,0,27,10,761
05/02/2026 21:00,0,2997,0,25,0,2972
05/02/2026 22:00,0,1061,0,22,0,1039
05/02/2026 23:00,0,2145,0,21,0,2124
05/03/2026 00:00,0,571,0,23,0,548
05/03/2026 01:00,0,1154,0,33,0,1121
05/03/2026 02:00,0,942,0,215,30,757
05/03/2026 03:00,0,891,0,919,28,0
05/03/2026 04:00,0,742,0,770,28,0
05/03/2026 05:00,0,912,0,938,26,0
05/03/2026 06:00,277,1786,0,1629,120,0
05/03/2026 07:00,1581,1231,0,1216,1566,0
05/03/2026 08:00,1682,973,0,974,1683,0
05/03/2026 09:00,1935,746,0,741,1930,0
05/03/2026 10:00,3287,645,0,633,3275,0
05/03/2026 11:00,3767,1205,0,1230,3792,0
05/03/2026 12:00,2351,1997,0,2002,2356,0
05/03/2026 13:00,3548,2041,1262,0,246,1
05/03/2026 14:00,3463,1350,2009,0,104,0
05/03/2026 15:00,1995,1242,662,0,92,1
05/03/2026 16:00,2432,777,2413,0,0,758
05/03/2026 17:00,1153,657,1127,0,0,631
05/03/2026 18:00,638,1526,615,0,0,1503
05/03/2026 19:00,99,969,66,0,0,936
05/03/2026 20:00,0,1407,0,34,4,1377
05/03/2026 21:00,0,4130,0,12,0,4118
05/03/2026 22:00,0,791,0,21,0,770
05/03/2026 23:00,0,940,0,30,0,910
05/04/2026 00:00,0,1049,0,31,0,1018
05/04/2026 01:00,0,901,0,265,12,648
05/04/2026 02:00,0,949,0,976,27,0
05/04/2026 03:00,0,1702,0,1729,27,0
05/04/2026 04:00,0,1893,0,1921,28,0
05/04/2026 05:00,8,1212,0,1312,108,0
05/04/2026 06:00,766,935,0,464,345,50
05/04/2026 07:00,2573,873,0,856,2556,0
05/04/2026 08:00,3851,739,0,727,3839,0
05/04/2026 09:00,5298,831,0,799,5266,0
05/04/2026 10:00,6274,1163,2313,0,2798,0
05/04/2026 11:00,6907,1058,5656,0,193,0
05/04/2026 12:00,7059,526,6428,0,105,0
